All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     assembly
# misassemblies              24      
  # contig misassemblies     24      
    # c. relocations         24      
    # c. translocations      0       
    # c. inversions          0       
  # scaffold misassemblies   0       
    # s. relocations         0       
    # s. translocations      0       
    # s. inversions          0       
# misassembled contigs       1       
Misassembled contigs length  2212540 
# local misassemblies        27      
# scaffold gap ext. mis.     0       
# scaffold gap loc. mis.     0       
# unaligned mis. contigs     0       
# mismatches                 9273    
# indels                     1056    
    # indels (<= 5 bp)       869     
    # indels (> 5 bp)        187     
Indels length                9626    
